x,y
17.66,37.66
18.39,38.39
31.08,51.08
32.64,52.64
51.68,71.68
78.46,98.46
9.57,29.57
68.38,88.38
30.29,50.29
86.15,106.15
16.82,36.82
3.35,23.35
65.78,85.78
50.7,70.7
38.26,58.26
85.52,105.52
44.06,64.06
44.09,64.09
81.86,101.86
33.98,53.98
93.8,113.8
59.58,79.58
98.75,118.75
88.98,108.98
78.08,98.08
82.77,102.77
76.49,96.49
55.38,75.38
46.56,66.56
83.92,103.92
81.38,101.38
4.88,24.88
4.57,24.57
57.96,77.96
33.42,53.42
9.95,29.95
47.14,67.14
63.17,83.17
95.01,115.01
30.36,50.36
2.46,22.46
69.75,89.75
64.85,84.85
25.18,45.18
69.84,89.84
40.43,60.43
75.61,95.61
36.75,56.75
50.08,70.08
64.97,84.97
41.72,61.72
1.7,21.7
99.93,119.93
24.57,44.57
75.23,95.23
1.95,21.95
78.84,98.84
67.38,87.38
55.35,75.35
58.1,78.1
53.1,73.1
41.24,61.24
68.86,88.86
87.36,107.36
54.06,74.06
64.12,84.12
11.77,31.77
99.43,119.43
55.24,75.24
56.44,76.44
39.47,59.47
8.94,28.94
92.91,112.91
87.68,107.68
80.37,100.37
56.72,76.72
0.76,20.76
26.98,46.98
0.39,20.39
81.99,101.99
88.32,108.32
51.01,71.01
21.38,41.38
72.66,92.66
18.04,38.04
11.22,31.22
36.75,56.75
64.81,84.81
72.72,92.72
24.03,44.03
41.38,61.38
62.79,82.79
63.66,83.66
91.12,111.12
7.41,27.41
94.05,114.05
53.12,73.12
68.31,88.31
25.33,45.33
42.34,62.34
94.61,114.61
43.78,63.78
50.18,70.18
81.64,101.64
11.27,31.27
41.03,61.03
21.25,41.25
29.23,49.23
35.74,55.74
0.91,20.91
30.08,50.08
23.99,43.99
90.79,110.79
99.22,119.22
94.21,114.21
19.35,39.35
82.04,102.04
79.22,99.22
83.4,103.4
55.82,75.82
42.49,62.49
17.6,37.6
35.65,55.65
82.5,102.5
81.15,101.15
53.47,73.47
44.3,64.3
32.88,52.88
99.26,119.26
76.32,96.32
78.97,98.97
18.08,38.08
87.01,107.01
56.25,76.25
42.62,62.62
15.95,35.95
47.85,67.85
6.61,26.61
66.38,86.38
94.97,114.97
42.29,62.29
31.48,51.48
69.67,89.67
30.41,50.41
2.98,22.98
8.12,28.12
80.41,100.41
63.68,83.68
24.6,44.6
77.61,97.61
39.87,59.87
77.8,97.8
58.53,78.53
23.97,43.97
7.77,27.77
0.8,20.8
6.45,26.45
45.32,65.32
35.56,55.56
65.05,85.05
62.21,82.21
86.61,106.61
87.91,107.91
48.08,68.08
2.41,22.41
69.55,89.55
22.07,42.07
61.87,81.87
82.5,102.5
26.97,46.97
31.53,51.53
1.81,21.81
72.57,92.57
88.88,108.88
63.9,83.9
93.29,113.29
86.26,106.26
63.62,83.62
20.24,40.24
16.23,36.23
72.87,92.87
16.26,36.26
37.86,57.86
57.53,77.53
61.66,81.66
49.48,69.48
95.2,115.2
12.1,32.1
47.79,67.79
17.29,37.29
47.11,67.11
85.74,105.74
89.94,109.94
97.68,117.68
78.73,98.73
51.65,71.65
52.82,72.82
50.95,70.95
16.14,36.14
16.73,36.73
57.25,77.25
78.47,98.47
42.35,62.35
93.24,113.24
12.56,32.56
21.4,41.4
70.6,90.6
44.04,64.04
6.43,26.43
12.01,32.01
79.61,99.61
43.05,63.05
14.42,34.42
51.68,71.68
25.59,45.59
9.14,29.14
37.24,57.24
15.73,35.73
71.54,91.54
1.26,21.26
4.25,24.25
21.42,41.42
44.12,64.12
31.12,51.12
85.27,105.27
43.25,63.25
77.27,97.27
47.34,67.34
90.57,110.57
17.35,37.35
82.01,102.01
81.58,101.58
68.62,88.62
47.48,67.48
4.3,24.3
6.94,26.94
11.71,31.71
22.62,42.62
58.43,78.43
69.1,89.1
56.77,76.77
67.1,87.1
93.2,113.2
83.61,103.61
71.97,91.97
75.19,95.19
48.03,68.03
97.95,117.95
92.27,112.27
23.88,43.88
79.15,99.15
24.42,44.42
12.58,32.58
46.58,66.58
1.29,21.29
17.09,37.09
12.45,32.45
82.75,102.75
52.15,72.15
39.51,59.51
31.71,51.71
39.36,59.36
12.16,32.16
83.13,103.13
42.25,62.25
45.32,65.32
20.52,40.52
7.99,27.99
23.34,43.34
25.87,45.87
78.73,98.73
55.6,75.6
31.98,51.98
85.93,105.93
58.56,78.56
88.16,108.16
78.65,98.65
25.93,45.93
84.83,104.83
68.09,88.09
68.36,88.36
39.8,59.8
0.38,20.38
4.49,24.49
32.53,52.53
54.23,74.23
19.98,39.98
90.62,110.62
18.31,38.31
95.66,115.66
95.41,115.41
71.64,91.64
23.02,43.02
97.06,117.06
41.58,61.58
79.8,99.8
74.55,94.55
72.19,92.19
70.01,90.01
75.24,95.24
19.82,39.82
96.31,116.31
2.21,22.21
40.52,60.52
2.4,22.4
35.24,55.24
26.38,46.38
26.02,46.02
34.73,54.73
45.15,65.15
9.35,29.35
19.37,39.37
9.51,29.51
15.03,35.03
85.08,105.08
3.23,23.23
58.26,78.26
4.84,24.84
49.49,69.49
35.55,55.55
26.51,46.51
20.12,40.12
72.73,92.73
31.04,51.04
30.66,50.66
2.96,22.96
18.68,38.68
91.41,111.41
44.67,64.67
81.57,101.57
0.17,20.17
49.03,69.03
54.47,74.47
61.78,81.78
22.67,42.67
89.8,109.8
33.05,53.05
67.76,87.76
7.64,27.64
36.91,56.91
95.44,115.44
52.76,72.76
3.52,23.52
87.39,107.39
41.48,61.48
1.44,21.44
95.04,115.04
71.77,91.77
23.39,43.39
62.66,82.66
15.98,35.98
29.06,49.06
2.94,22.94
71.5,91.5
65.24,85.24
30.65,50.65
16.36,36.36
0.98,20.98
33.19,53.19
27.49,47.49
53.69,73.69
28.15,48.15
40.21,60.21
50.56,70.56
74.71,94.71
24.72,44.72
48.05,68.05
34.99,54.99
66.75,86.75
17.62,37.62
98.99,118.99
37.96,57.96
56.88,76.88
48.27,68.27
71.18,91.18
46.35,66.35
10.43,30.43
24.14,44.14
82.21,102.21
96.85,116.85
93.68,113.68
33.02,53.02
66.73,86.73
83.89,103.89
80.85,100.85
79.21,99.21
84.37,104.37
38.41,58.41
47.49,67.49
1.54,21.54
68.32,88.32
22.82,42.82
2.65,22.65
19.91,39.91
12.99,32.99
30.87,50.87
44.1,64.1
15.84,35.84
36.46,56.46
26.25,46.25
79.12,99.12
86.26,106.26
0.61,20.61
33.94,53.94
99.92,119.92
26.2,46.2
69.77,89.77
69.07,89.07
1.89,21.89
38.25,58.25
27.08,47.08
23.09,43.09
55.56,75.56
6.68,26.68
22.86,42.86
17.25,37.25
19.01,39.01
35.07,55.07
59.08,79.08
87.02,107.02
1.57,21.57
97.76,117.76
70.78,90.78
38.01,58.01
96.41,116.41
2.86,22.86
27.05,47.05
90.99,110.99
86.6,106.6
54.66,74.66
67.61,87.61
85.16,105.16
87.64,107.64
14.69,34.69
16.08,36.08
14.45,34.45
65.91,85.91
50.74,70.74
6.98,26.98
52.76,72.76
8.03,28.03
17.58,37.58
33.63,53.63
87.65,107.65
77.97,97.97
30.56,50.56
59.61,79.61
14.05,34.05
87.65,107.65
33.19,53.19
31.87,51.87
25.89,45.89
48.6,68.6
80.25,100.25
6.61,26.61
4.56,24.56
40.17,60.17
92.32,112.32
75.07,95.07
17.1,37.1
39.06,59.06
4.26,24.26
52.95,72.95
45.73,65.73
4.72,24.72
2.01,22.01
39.08,59.08
82.94,102.94
44.51,64.51
27.27,47.27
60.16,80.16
41.26,61.26
66.5,86.5
58.37,78.37
62.11,82.11
70.3,90.3
18.47,38.47
24.8,44.8
79.02,99.02
96.61,116.61
18.14,38.14
0.83,20.83
99.67,119.67
34.07,54.07
57.28,77.28
35.92,55.92
66.15,86.15
81.82,101.82
2.97,22.97
95.97,115.97
51.17,71.17
91.47,111.47
94.09,114.09
57.7,77.7
67.96,87.96
81.91,101.91
11.55,31.55
86.59,106.59
5.36,25.36
90.86,110.86
81.02,101.02
35.87,55.87
63.73,83.73
78.29,98.29
96.72,116.72
14.97,34.97
45.76,65.76
82.69,102.69
85.82,105.82
85.95,105.95
15.04,35.04
89.91,109.91
30.86,50.86
5.77,25.77
75.24,95.24
8.43,28.43
90.7,110.7
80.16,100.16
42.81,62.81
82.47,102.47
48.23,68.23
77.48,97.48
0.48,20.48
29.75,49.75
88.76,108.76
33.59,53.59
22.74,42.74
82.15,102.15
89.1,109.1
26.56,46.56
40.72,60.72
68.46,88.46
34.82,54.82
36.56,56.56
72.32,92.32
29.65,49.65
44.39,64.39
82.08,102.08
99.73,119.73
79.04,99.04
20.78,40.78
72.39,92.39
90.62,110.62
35.99,55.99
50.65,70.65
59.04,79.04
87.01,107.01
43.71,63.71
95.61,115.61
50.25,70.25
69.64,89.64
40.07,60.07
82.61,102.61
20.84,40.84
10.28,30.28
47.43,67.43
30.47,50.47
69.16,89.16
46.06,66.06
93.78,113.78
19.93,39.93
79.61,99.61
81.11,101.11
76.16,96.16
75.84,95.84
50.97,70.97
47.35,67.35
93.21,113.21
19.22,39.22
11.67,31.67
52.48,72.48
38.76,58.76
2.74,22.74
18.99,38.99
82.38,102.38
15.68,35.68
39.19,59.19
31.06,51.06
28.91,48.91
19.01,39.01
76.62,96.62
36.82,56.82
86.28,106.28
39.26,59.26
41.45,61.45
65.81,85.81
77.09,97.09
78.96,98.96
16.41,36.41
39.54,59.54
72.45,92.45
48.83,68.83
27.61,47.61
26.53,46.53
83.06,103.06
97.06,117.06
89.01,109.01
89.44,109.44
69.18,89.18
1.11,21.11
71.63,91.63
92.93,112.93
99.46,119.46
36.49,56.49
95.48,115.48
65.33,85.33
15.28,35.28
5.52,25.52
0.78,20.78
10.09,30.09
5.75,25.75
52.34,72.34
14.55,34.55
67.92,87.92
36.66,56.66
99.76,119.76
26.67,46.67
3.21,23.21
87.7,107.7
90.03,110.03
51.54,71.54
62.86,82.86
52.75,72.75
34.17,54.17
62,82
82.47,102.47
61.38,81.38
47.17,67.17
20.91,40.91
96.96,116.96
46.06,66.06
26.85,46.85
91.67,111.67
54.07,74.07
51.63,71.63
94.04,114.04
67.75,87.75
29.24,49.24
38.29,58.29
28.49,48.49
60.51,80.51
77.22,97.22
99.25,119.25
33.11,53.11
72.47,92.47
21.97,41.97
14.25,34.25
23.79,43.79
77.78,97.78
23.51,43.51
66.92,86.92
79.81,99.81
56.72,76.72
59.6,79.6
57.68,77.68
27.83,47.83
47.8,67.8
58.79,78.79
78.33,98.33
85.14,105.14
71.61,91.61
58.09,78.09
44.89,64.89
33.12,53.12
98.79,118.79
44.57,64.57
88.63,108.63
61.96,81.96
58.54,78.54
19.17,39.17
13.51,33.51
76.68,96.68
82.62,102.62
78.13,98.13
37.1,57.1
8.82,28.82
71.64,91.64
68.44,88.44
7.66,27.66
64.37,84.37
54.9,74.9
78.35,98.35
79.84,99.84
3.09,23.09
48.62,68.62
38.26,58.26
42.05,62.05
48.89,68.89
54.38,74.38
11.16,31.16
63.24,83.24
68.17,88.17
68.68,88.68
53.43,73.43
67.45,87.45
10.6,30.6
56.81,76.81
11.42,31.42
36.93,56.93
41.64,61.64
69.74,89.74
23.07,43.07
44.98,64.98
35.75,55.75
14.8,34.8
72.19,92.19
51.1,71.1
96.54,116.54
15.04,35.04
21.17,41.17
46.42,66.42
22.35,42.35
35.47,55.47
4.27,24.27
84.37,104.37
43.95,63.95
86.56,106.56
44.35,64.35
76.81,96.81
1.05,21.05
32.76,52.76
83.66,103.66
12.14,32.14
25.85,45.85
82.12,102.12
75.33,95.33
32.92,52.92
7.52,27.52
25.42,45.42
42.57,62.57
87.36,107.36
0.51,20.51
45.7,65.7
58.74,78.74
28.62,48.62
73.22,93.22
78.64,98.64
42.4,62.4
84.22,104.22
54.24,74.24
2.71,22.71
54.11,74.11
66.74,86.74
28.8,48.8
87.02,107.02
32.02,52.02
59.57,79.57
40.46,60.46
23.74,43.74
87.58,107.58
84.15,104.15
32.48,52.48
4.59,24.59
98,118
12.23,32.23
66.17,86.17
50.73,70.73
74.68,94.68
43.72,63.72
53.95,73.95
54.47,74.47
56.7,76.7
16.59,36.59
71.56,91.56
80.62,100.62
71.29,91.29
16.81,36.81
48.88,68.88
8.41,28.41
93.98,113.98
39.2,59.2
61.75,81.75
1.06,21.06
21.4,41.4
8.6,28.6
38.8,58.8
14.41,34.41
40.14,60.14
69.45,89.45
14.41,34.41
51.2,71.2
39.1,59.1
21.04,41.04
10.12,30.12
70.13,90.13
1.74,21.74
12.23,32.23
98.81,118.81
50.48,70.48
6.98,26.98
24.08,44.08
15.72,35.72
83.99,103.99
47.21,67.21
88.31,108.31
91.05,111.05
45.22,65.22
87.76,107.76
99.37,119.37
94.38,114.38
31.3,51.3
40.85,60.85
40.91,60.91
77.14,97.14
50.92,70.92
17.81,37.81
90.3,110.3
28.44,48.44
49.23,69.23
81.63,101.63
83.04,103.04
28.39,48.39
8.61,28.61
25.36,45.36
51.35,71.35
64.49,84.49
96.17,116.17
96.1,116.1
47.58,67.58
94.38,114.38
41.97,61.97
37.86,57.86
26.97,46.97
37.57,57.57
65.08,85.08
17.68,37.68
63.75,83.75
91.86,111.86
76.35,96.35
22.98,42.98
96.46,116.46
9.38,29.38
42.97,62.97
20.56,40.56
13.73,33.73
37.35,57.35
69.54,89.54
38.17,58.17
47.04,67.04
48.79,68.79
39.34,59.34
82.57,102.57
40.77,60.77
13.62,33.62
35.33,55.33
95.36,115.36
20.25,40.25
47.48,67.48
30.22,50.22
83.9,103.9
85.81,105.81
84.29,104.29
52.84,72.84
96.72,116.72
3.29,23.29
71.77,91.77
8.52,28.52
22.55,42.55
15.08,35.08
91.29,111.29
16.48,36.48
44.84,64.84
34.44,54.44
36.26,56.26
58.45,78.45
96.59,116.59
63.8,83.8
85.92,105.92
93.68,113.68
74.09,94.09
99.44,119.44
88.39,108.39
64.4,84.4
13.87,33.87
81.17,101.17
